"","Наименование профессии (должности","Наименование специальной одежды, специальной обуви и других средств индивидуальной защиты","Норма выдачи на год (штуки, пары, комплекты)"
"","Паяльщик по свинцу (свинцовопаяльщик)","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Паяльщик по свинцу (свинцовопаяльщик)","Перчатки с полимерным покрытием","12 пар"
"","Паяльщик по свинцу (свинцовопаяльщик)","Очки защитные","до износа"
"","Паяльщик по свинцу (свинцовопаяльщик)","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Пекарь; повар; помощник повара; кондитер","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Пекарь; повар; помощник повара; кондитер","Фартук из полимерных материалов с нагрудником","2 шт."
"","Пекарь; повар; помощник повара; кондитер","Нарукавники из полимерных материалов","до износа"
"","Переплетчик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Переплетчик","Халат для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Переплетчик","Перчатки с полимерным покрытием","6 пар"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Фартук из полимерных материалов с нагрудником","2 шт."
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Сапоги резиновые с защитным подноском","1 пара"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Перчатки с полимерным покрытием или","12 пар"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Перчатки резиновые или из полимерных материалов","12 пар"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Щиток защитный лицевой или","до износа"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Очки защитные","до износа"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","При работе внутри камер дополнительно:",""
"","Пескоструйщик; гидропескоструйщик; гидрочистильщик","Скафандр","дежурный"
"","Печатник плоской печати","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Печатник плоской печати","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Печатник плоской печати","Перчатки резиновые или из полимерных материалов","6 пар"
"","Пирометрист; кубовщик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Пирометрист; кубовщик","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Пирометрист; кубовщик","Перчатки с полимерным покрытием","6 пар"
"","Пирометрист; кубовщик","Щиток защитный лицевой или","до износа"
"","Пирометрист; кубовщик","Очки защитные","до износа"
"","Пирометрист; кубовщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Плотник","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Плотник","Перчатки с полимерным покрытием или","12 пар"
"","Плотник","Перчатки с точечным покрытием","до износа"
"","Плотник","Очки защитные","до износа"
"","Плотник","Наплечники защитные","дежурные"
"","Полировщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Полировщик","Фартук из полимерных материалов с нагрудником","1 шт."
"","Полировщик","Сапоги резиновые с защитным подноском","1 пара"
"","Полировщик","Перчатки с полимерным покрытием","12 пар"
"","Полировщик","Очки защитные","до износа"
"","Полировщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Фартук из полимерных материалов с нагрудником","1 шт."
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Нарукавники из полимерных материалов","до износа"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Перчатки с полимерным покрытием","12 пар"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Перчатки резиновые или из полимерных материалов","4 пары"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Перчатки для защиты от повышенных температур, искр и брызг расплавленного металла","6 пар"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Очки защитные","до износа"
"","Прессовщик-вулканизаторщик; вулканизаторщик; бакелитчик (пропитчик); гасильщик извести; ремонтировщик резиновых изделий; прессовщик изделий из пластмасс","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Приборист","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Приборист","Сапоги резиновые с защитным подноском","1 пара"
"","Приборист","Перчатки с полимерным покрытием","6 пар"
"","Приборист","При обслуживании установок серной кислоты и получения натрия гидросульфита:",""
"","Приборист","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Приборист","Перчатки кислотощелочестойкие","12 пар"
"","Приборист","Перчатки резиновые или из полимерных материалов","до износа"
"","Приборист","Очки защитные","до износа"
"","Приборист","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Приемосдатчик груза и багажа; старший приемосдатчик груза и багажа","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Приемосдатчик груза и багажа; старший приемосдатчик груза и багажа","Сапоги резиновые с защитным подноском","1 пара"
"","Приемосдатчик груза и багажа; старший приемосдатчик груза и багажа","Перчатки с полимерным покрытием","12 пар"
"","Приемосдатчик груза и багажа; старший приемосдатчик груза и багажа","Очки защитные","до износа"
"","Приемосдатчик груза и багажа; старший приемосдатчик груза и багажа","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Приемщик заказов; приемщик молочной продукции","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Приемщик заказов; приемщик молочной продукции","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Приемщик заказов; приемщик молочной продукции","Перчатки с точечным покрытием","12 пар"
"","Промывальщик-пропарщик цистерн","Костюм для защиты от повышенных температур","1 шт."
"","Промывальщик-пропарщик цистерн","Сапоги резиновые с защитным подноском","1 пара"
"","Промывальщик-пропарщик цистерн","Перчатки с полимерным покрытием","6 пар"
"","Промывальщик-пропарщик цистерн","Перчатки резиновые или из полимерных материалов","6 пар"
"","Промывальщик-пропарщик цистерн","Щиток защитный лицевой или","до износа"
"","Промывальщик-пропарщик цистерн","Очки защитные","до износа"
"","Промывальщик-пропарщик цистерн","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Пропитчик пиломатериалов и изделий из древесины","При работе с антисептиками:",""
"","Пропитчик пиломатериалов и изделий из древесины","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Пропитчик пиломатериалов и изделий из древесины","Сапоги резиновые с защитным подноском","1 пара"
"","Пропитчик пиломатериалов и изделий из древесины","Перчатки резиновые или из полимерных материалов","12 пар"
"","Пропитчик пиломатериалов и изделий из древесины","Перчатки с полимерным покрытием","6 пар"
"","Пропитчик пиломатериалов и изделий из древесины","Щиток защитный лицевой","до износа"
"","Пропитчик пиломатериалов и изделий из древесины","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Пропитчик пиломатериалов и изделий из древесины","При выполнении работы по пропитке шпал:",""
"","Пропитчик пиломатериалов и изделий из древесины","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Пропитчик пиломатериалов и изделий из древесины","Сапоги резиновые с защитным подноском","1 пара"
"","Пропитчик пиломатериалов и изделий из древесины","Перчатки с полимерным покрытием","12 пар"
"","Пропитчик пиломатериалов и изделий из древесины","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Сапоги резиновые с защитным подноском","1 пара"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Перчатки с полимерным покрытием","6 пар"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Перчатки резиновые или из полимерных материалов","12 пар"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Щиток защитный лицевой или","до износа"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Очки защитные","до износа"
"","Рабочий по комплексному обслуживанию и ремонту зданий; рабочий зеленого строительства; рабочий по благоустройству; рабочий по комплексной уборке и содержанию домовладений","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Рабочий производственных бань","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Рабочий производственных бань","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Рабочий производственных бань","Перчатки с полимерным покрытием","6 пар"
"","Радиомеханик по ремонту радиоэлектронного оборудования","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Радиомеханик по ремонту радиоэлектронного оборудования","Перчатки с полимерным покрытием","6 пар"
"","Радиомеханик по ремонту радиоэлектронного оборудования","Перчатки резиновые или из полимерных материалов","12 пар"
"","Радиомеханик по ремонту радиоэлектронного оборудования","Очки защитные","до износа"
"","Рамщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Рамщик","Сапоги резиновые с защитным подноском","1 пара"
"","Рамщик","Перчатки с полимерным покрытием","12 пар"
"","Рамщик","Очки защитные","до износа"
"","Раскройщик; пошивщик шорно-седельных изделий","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Раскройщик; пошивщик шорно-седельных изделий","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Раскройщик; пошивщик шорно-седельных изделий","Фартук из полимерных материалов с нагрудником","2 шт."
"","Раскройщик; пошивщик шорно-седельных изделий","Перчатки с точечным покрытием","12 пар"
"","Регенераторщик отработанного масла","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Регенераторщик отработанного масла","Фартук из полимерных материалов с нагрудником","2 шт."
"","Регенераторщик отработанного масла","Сапоги резиновые с защитным подноском","1 пара"
"","Регенераторщик отработанного масла","Перчатки с полимерным покрытием","12 пар"
"","Регенераторщик отработанного масла","Очки защитные","до износа"
"","Регенераторщик отработанного масла","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Регулировщик хвостового хозяйства","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Регулировщик хвостового хозяйства","Сапоги резиновые с защитным подноском","1 пара"
"","Регулировщик хвостового хозяйства","Перчатки с полимерным покрытием","12 пар"
"","Регулировщик хвостового хозяйства","Очки защитные","до износа"
"","Регулировщик хвостового хозяйства","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Резьбошлифовщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Резьбошлифовщик","Перчатки с полимерным покрытием","6 пар"
"","Резьбошлифовщик","Очки защитные","до износа"
"","Ремонтировщик респираторов и противогазов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Ремонтировщик респираторов и противогазов","Перчатки с полимерным покрытием","12 пар"
"","Ремонтировщик респираторов и противогазов","Очки защитные","до износа"
"","Рихтовщик кузовов; слесарь-сборщик двигателей и агрегатов","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Рихтовщик кузовов; слесарь-сборщик двигателей и агрегатов","Перчатки с полимерным покрытием","6 пар"
"","Рихтовщик кузовов; слесарь-сборщик двигателей и агрегатов","Очки защитные","до износа"
"","Сатураторщик","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Сатураторщик","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Сатураторщик","Перчатки с полимерным покрытием","6 пар"
"","Сатураторщик","Очки защитные","до износа"
"","Сатураторщик","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Сборщик игрушек","Костюм для защиты от общих производственных загрязнений и механических воздействий или","1 шт."
"","Сборщик игрушек","Халат и брюки для защиты от общих производственных загрязнений и механических воздействий","1 комплект"
"","Сборщик игрушек","При выполнении работ с применением клея дополнительно:",""
"","Сборщик игрушек","Фартук хлопчатобумажный с нагрудником","2 шт."
"","Сборщик игрушек","Перчатки с полимерным покрытием","12 пар"
"","Сборщик игрушек","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Сборщик изделий из стеклопластиков и органического стекла; изготовитель стеклопластиковых изделий","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Сборщик изделий из стеклопластиков и органического стекла; изготовитель стеклопластиковых изделий","Фартук из полимерных материалов с нагрудником","1 шт."
"","Сборщик изделий из стеклопластиков и органического стекла; изготовитель стеклопластиковых изделий","Перчатки с полимерным покрытием","12 пар"
"","Сборщик изделий из стеклопластиков и органического стекла; изготовитель стеклопластиковых изделий","Очки защитные","до износа"
"","Сборщик изделий из стеклопластиков и органического стекла; изготовитель стеклопластиковых изделий","Средство индивидуальной защиты органов дыхания фильтрующее","до износа"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Сапоги резиновые с защитным подноском или","1 пара"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Сапоги болотные с защитным подноском","1 пара"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Перчатки с полимерным покрытием","12 пар"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Перчатки резиновые или из полимерных материалов","12 пар"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Щиток защитный лицевой или","до износа"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Очки защитные","до износа"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Средство индивидуальной защиты органов дыхания фильтрующее или изолирующее","до износа"
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","При выполнении работ, на которых необходима защита от растворов кислот и щелочей, вместо костюма для защиты от общих производственных загрязнений и механических воздействий выдается:",""
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Костюм для защиты от растворов кислот и щелочей","1 шт."
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Слесарю аварийно-восстановительных работ вместо костюма для защиты от общих производственных загрязнений и механических воздействий выдается:",""
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Костюм для защиты от повышенных температур","1 шт."
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Слесарю аварийно-восстановительных работ на наружных работах зимой дополнительно:",""
"","Слесарь аварийно-восстановительных работ; слесарь по обслуживанию тепловых пунктов; слесарь по обслуживанию тепловых сетей; слесарь по ремонту и обслуживанию систем вентиляции и кондиционирования; слесарь по ремонту оборудования котельных и пылеприготовительных цехов; слесарь по ремонту парогазотурбинного оборудования; слесарь по эксплуатации и ремонту газового оборудования; слесарь строительный; слесарь-проводчик; слесарь-ремонтник; слесарь-сантехник; монтажник санитарно-технических систем и оборудования","Костюм для защиты от повышенных температур на утепляющей прокладке","по поясам"
"","Слесарь механосборочных работ; слесарь по такелажу и грузозахватным приспособлениям; слесарь по сборке металлоконструкций; слесарь-инструментальщик; жестянщик","Костюм для защиты от общих производственных загрязнений и механических воздействий","1 шт."
"","Слесарь механосборочных работ; слесарь по такелажу и грузозахватным приспособлениям; слесарь по сборке металлоконструкций; слесарь-инструментальщик; жестянщик","Перчатки с полимерным покрытием","6 пар"
